# Time (s),Damping Ratio ()
0,NaN
0.009,NaN
0.019,NaN
0.029,NaN
0.039,NaN
0.044,NaN
0.051,NaN
0.063,NaN
0.073,NaN
0.078,NaN
0.086,NaN
0.094,NaN
0.104,NaN
0.109,NaN
0.117,NaN
0.125,NaN
0.135,NaN
0.147,NaN
0.157,NaN
0.167,NaN
0.177,NaN
0.187,NaN
0.194,NaN
0.204,NaN
0.214,NaN
0.224,NaN
0.234,NaN
0.244,NaN
0.254,NaN
0.264,NaN
0.274,NaN
0.284,NaN
0.294,NaN
0.304,NaN
0.314,NaN
0.324,NaN
0.334,NaN
0.344,NaN
0.35,NaN
0.359,NaN
0.369,NaN
0.379,NaN
0.389,NaN
0.399,NaN
0.414,0.379
0.428,0.374
0.449,0.369
0.481,0.365
0.528,0.363
0.563,0.36
0.613,0.351
0.663,0.344
0.694,0.341
0.74,0.337
0.79,0.334
0.84,0.332
0.891,0.337
0.941,0.341
0.988,0.343
1.038,0.344
1.088,0.345
1.138,0.345
1.188,0.342
1.238,0.34
1.266,0.339
1.308,0.342
1.358,0.345
1.408,0.348
1.458,0.349
1.491,0.349
1.541,0.348
1.581,0.351
1.631,0.356
1.641,0.357
1.656,0.358
1.679,0.359
1.684,0.359
1.692,0.359
1.705,0.359
1.716,0.359
1.733,0.358
1.759,0.358
1.784,0.361
1.822,0.364
1.866,0.366
1.907,0.366
1.938,0.365
1.984,0.368
2.034,0.369
2.084,0.368
2.134,0.369
2.138,0.369
2.144,0.369
2.153,0.369
2.167,0.369
2.188,0.367
2.219,0.365
2.266,0.364
2.307,0.362
2.349,0.357
2.399,0.354
2.44,0.349
2.491,0.344
2.541,0.339
2.591,0.334
2.6,0.333
2.614,0.332
2.634,0.331
2.664,0.329
2.71,0.325
2.76,0.322
2.81,0.32
2.86,0.316
2.91,0.314
2.919,0.314
2.933,0.314
2.954,0.313
2.985,0.312
3.022,0.31
3.072,0.308
3.122,0.306
3.138,0.305
3.162,0.305
3.198,0.305
3.248,0.303
3.3,0.301
3.35,0.301
3.388,0.3
3.438,0.299
3.441,0.299
3.446,0.299
3.452,0.299
3.462,0.299
3.478,0.299
3.5,0.299
3.535,0.298
3.544,0.298
3.558,0.297
3.58,0.298
3.609,0.298
3.653,0.297
3.688,0.296
3.738,0.296
3.778,0.296
3.819,0.295
3.853,0.295
3.897,0.295
3.947,0.295
3.981,0.295
3.997,0.295
4.021,0.006
4.057,0.255
4.107,0.255
4.157,0.255
4.207,0.255
4.257,0.255
4.307,0.255
4.357,0.254
4.407,0.255
4.457,0.254
4.507,0.254
4.557,0.254
4.607,0.254
4.657,0.254
4.707,0.254
4.757,0.254
4.807,0.254
4.857,0.254
4.907,0.253
4.957,0.253
5.007,0.253
5.057,0.253
5.107,0.253
5.157,0.253
5.207,0.253
5.257,0.253
5.307,0.253
5.357,0.253
5.407,0.253
5.457,0.253
5.507,0.253
5.557,0.253
5.607,0.253
5.657,0.253
5.707,0.253
5.757,0.253
5.807,0.253
5.857,0.253
5.907,0.253
5.957,0.253
6.005,0.253
6.055,0.253
6.086,0.253
6.133,0.254
6.16,0.254
6.185,0.253
6.223,0.253
6.269,0.253
6.304,0.253
6.354,0.253
6.39,0.253
6.44,0.254
6.47,0.254
6.513,0.253
6.563,0.253
6.613,0.253
6.663,0.253
6.713,0.253
6.763,0.253
6.813,0.253
6.863,0.253
6.913,0.253
6.963,0.253
7.013,0.253
7.063,0.253
7.113,0.253
7.163,0.254
7.21,0.254
7.26,0.254
7.296,0.254
7.336,0.254
7.386,0.254
7.416,0.254
7.458,0.254
7.508,0.254
7.558,0.253
7.608,0.254
7.658,0.253
7.708,0.253
7.758,0.253
7.808,0.253
7.858,0.253
7.908,0.253
7.958,0.253
8.008,0.253
8.058,0.252
8.108,0.252
8.158,0.252
8.201,0.252
8.251,0.252
8.289,0.251
8.339,0.252
8.383,0.251
8.433,0.251
8.483,0.251
8.533,0.25
8.583,0.25
8.633,0.25
8.683,0.25
8.733,0.249
8.783,0.249
8.833,0.249
8.883,0.249
8.933,0.249
8.983,0.248
9.033,0.248
9.083,0.248
9.133,0.248
9.183,0.248
9.218,0.247
9.268,0.247
9.301,0.247
9.327,0.247
9.367,0.246
9.417,0.246
